Frequency (rad/s),Pxx
0.0,5993.800743320589
0.06282871163621406,2573.3387054971913
0.12565742327242813,12.99099735798982
0.18848613490864216,31.13801940684921
0.25131484654485625,27.742572884531718
0.31414355818107026,19.332681789539684
0.3769722698172843,0.7343082293036183
0.43980098145349844,7.444009347777204
0.5026296930897125,8.478346234346045
0.5654584047259265,5.005274037219367
0.6282871163621405,8.30339331191474
0.6911158279983547,4.258540051096934
0.7539445396345686,2.5986894396605282
0.8167732512707828,1.3487340273789337
0.8796019629069969,2.9065865830316726
0.9424306745432108,4.530954539304486
1.005259386179425,2.9589215019748196
1.068088097815639,2.912984003582415
1.130916809451853,4.064051505817525
1.193745521088067,6.745656885752107
1.256574232724281,1.7987144283865237
1.3194029443604953,2.6283363574306335
1.3822316559967094,2.2242826943539713
1.4450603676329234,1.5667302025281962
1.5078890792691373,2.400863504788311
1.5707177909053514,2.1905383734477843
1.6335465025415656,3.005198662610421
1.6963752141777795,4.045462108386996
1.7592039258139938,5.469242801892061
1.8220326374502076,4.107626046596285
1.8848613490864217,2.463245238264388
1.9476900607226357,2.4420069563689126
2.01051877235885,1.589157791116442
2.073347483995064,1.846767183188601
2.136176195631278,3.031445034948694
2.199004907267492,4.128137929676599
2.261833618903706,3.2526812551033624
2.3246623305399203,1.2837455260267119
2.387491042176134,4.23241945377962
2.4503197538123485,1.3481712517614952
2.513148465448562,2.5946785848689293
2.575977177084776,2.4501456612182313
2.6388058887209906,1.646480609600481
2.7016346003572043,2.1545486665077593
2.7644633119934188,3.0001222630162547
2.8272920236296324,2.908812525607137
2.890120735265847,2.5074024760378455
2.9529494469020605,1.4415864224170345
3.0157781585382746,1.9621254494551434
3.078606870174489,1.3980595132608136
3.1414355818107027,3.5591428689393845
3.2042642934469168,4.170881028203939
3.2670930050831313,1.4891068099078955
3.3299217167193453,3.227304043016976
3.392750428355559,1.5932342589754618
3.455579139991773,2.540166994865036
3.5184078516279875,7.013236080248417
3.581236563264201,4.5118081069727545
3.644065274900415,5.555118979384387
3.7068939865366297,6.14970007609947
3.7697226981728433,8.548203016453567
3.8325514098090574,8.563971106404953
3.8953801214452715,9.140725796617108
