time,disturbance,avg_freq_dev
0.02,0,-3.836930773104541e-13
0.04,0,-7.389644451905042e-13
0.06,0,-9.379164112033322e-13
0.08,0,-1.0800249583553523e-12
0.1,0,-1.1866063687193673e-12
0.12000000000000001,0,-1.2789769243681803e-12
0.14,0,-1.3002932064409833e-12
0.16,0,-1.2931877790833823e-12
0.18,0,-1.3855583347321954e-12
0.19999999999999998,0,-1.6484591469634324e-12
0.21999999999999997,0,-2.1316282072803006e-12
0.23999999999999996,0,-2.9345414986892138e-12
0.25999999999999995,0,-3.737454790098127e-12
0.27999999999999997,0,-4.305888978706207e-12
0.3,0,-4.661160346586257e-12
0.32,0,-4.838796030526282e-12
0.34,0,-4.82458517581108e-12
0.36000000000000004,0,-4.639844064513454e-12
0.38000000000000006,0,-4.312994406063808e-12
0.4000000000000001,0,-3.851141627819743e-12
0.4200000000000001,0,-3.282707439211663e-12
0.4400000000000001,0,-2.6290081223123707e-12
0.46000000000000013,0,-1.9255708139098715e-12
0.48000000000000015,0,-1.1723955140041653e-12
0.5000000000000001,0,-4.263256414560601e-13
0.5200000000000001,0,3.126388037344441e-13
0.5400000000000001,0,1.0089706847793423e-12
0.5600000000000002,0,1.6342482922482304e-12
0.5800000000000002,0,2.2026824808563106e-12
0.6000000000000002,0,2.6645352591003757e-12
0.6200000000000002,0,3.0340174816956278e-12
0.6400000000000002,0,3.289812866569264e-12
0.6600000000000003,0,3.147704319417244e-12
0.6800000000000003,0,2.9984903449076228e-12
0.7000000000000003,0,3.0269120543380268e-12
0.7200000000000003,0,2.6219026949547697e-12
0.7400000000000003,0,2.2239987629291136e-12
0.7600000000000003,0,1.7905676941154525e-12
0.7800000000000004,0,1.3500311979441904e-12
0.8000000000000004,0,8.952838470577262e-13
0.8200000000000004,0,4.476419235288631e-13
0.8400000000000004,0,1.4210854715202004e-14
0.8600000000000004,0,-3.907985046680551e-13
0.8800000000000004,0,-7.531752999057062e-13
0.9000000000000005,0,-1.0658141036401503e-12
0.9200000000000005,0,-1.3358203432289883e-12
0.9400000000000005,0,-1.5347723092418164e-12
0.9600000000000005,0,-1.7692514120426495e-12
0.9800000000000005,0,-2.0108359422010835e-12
1.0000000000000004,0,-2.1316282072803006e-12
1.0200000000000005,0,-2.1529444893531036e-12
1.0400000000000005,0,-2.0961010704922955e-12
1.0600000000000005,0,-1.9468870959826745e-12
1.0800000000000005,0,-1.7337242752546445e-12
1.1000000000000005,0,-1.4708234630234074e-12
1.1200000000000006,0,-1.1510792319313623e-12
1.1400000000000006,0,-8.100187187665142e-13
1.1600000000000006,0,-4.334310688136611e-13
1.1800000000000006,0,-6.394884621840902e-14
1.2000000000000006,0,3.126388037344441e-13
1.2200000000000006,0,6.608047442568932e-13
1.2400000000000007,0,9.876544027065393e-13
1.2600000000000007,0,1.2860823517257813e-12
1.2800000000000007,0,1.5347723092418164e-12
1.3000000000000007,0,1.7408297026122455e-12
1.3200000000000007,0,1.8829382497642655e-12
1.3400000000000007,0,1.9753088054130785e-12
1.3600000000000008,0,2.0108359422010835e-12
1.3800000000000008,0,2.0037305148434825e-12
1.4000000000000008,0,1.9326762412674725e-12
