w_stab,mag_stab
1e-05,160416.6666666667
1.0376050197669118e-05,154602.82439911747
1.0766241770454934e-05,148999.68817985052
1.1171106505048242e-05,143599.62157211025
1.1591196185988858e-05,138395.26489990245
1.202708334768512e-05,133379.52521759353
1.2479362054713115e-05,128545.5666430334
1.2948648711459049e-05,123886.80104102615
1.3435582902208263e-05,119396.87904445195
1.3940828262825786e-05,115069.68140080254
1.4465073385216472e-05,110899.31063233664
1.5009032755797366e-05,106880.08299848928
1.557344772926135e-05,103006.5207495805
1.615908753895919e-05,99273.34466126615
1.676675034527701e-05,95675.46683955613
1.7397264323438025e-05,92207.98378659418
1.80514887922111e-05,88866.1697177485
1.8730315385064383e-05,85645.47012090542
1.943466926536022e-05,82541.49554918775
2.0165510387247484e-05,79550.01563863861
2.092383480396979e-05,76666.95334271684
2.1710676025372672e-05,73888.37937574681
2.2527106426459828e-05,71210.50685774934
2.3374238708918172e-05,68629.68615335546
2.4253227417603554e-05,66142.39989776888
2.516527051405389e-05,63745.25820299837
2.6111611009174623e-05,61434.994037825694
2.709353865732049e-05,59208.45877521547
2.811239171408461e-05,57062.61790109313
2.916955876018793e-05,54994.54687864917
3.026648059395689e-05,53001.42716252778
3.140465219496749e-05,51080.54235747053
3.258562476153223e-05,49229.2745161789
3.381100782480682e-05,47445.10057135016
3.5082471442397884e-05,45725.588897023896
3.640174847446138e-05,44068.39599455265
3.7770636945393644e-05,42471.263298680075
3.919100249433402e-05,40932.01409937362
4.066478091781854e-05,39448.55057521658
4.219398080805024e-05,38018.850934316346
4.3780686290381665e-05,36640.96665883221
4.542705986374043e-05,35313.019849367396
4.713534534786907e-05,34033.20066560601
4.89078709413959e-05,32799.76485970668
5.074705239490466e-05,31611.031399091382
5.265539630332755e-05,30465.380175389382
5.463550352214876e-05,29361.249796414002
5.669007271207434e-05,28297.13545816281
5.8821904016999556e-05,27271.586893941105
6.103390288028621e-05,26283.206397813505
6.332908400455115e-05,25330.646919689905
6.57105754603627e-05,24412.610229449543
6.818162294944479e-05,23527.84514760116
7.074559422819878e-05,22675.145840067806
7.340598369757212e-05,21853.35017477225
7.616641716552892e-05,21061.3381377833
7.903065678861348e-05,20298.030306864293
8.200260619934131e-05,19562.386380343512
8.508631582640582e-05,18853.403759301415
8.82859884149515e-05,18170.116181142468
9.16059847544371e-05,17511.59240268924
9.505082962189511e-05,16876.93493100395
9.862521794868784e-05,16265.278800207805
0.00010233402121916423,15675.790392630954
0.00010618229410993846,15107.66630268652
0.00011017528137883873,14560.13224192026
0.00011431842501291502,14032.441983743542
0.00011861737164524792,13523.876346411469
0.00012307798025066658,13033.742212860036
0.00012770633013086446,12561.371586066482
0.0001325087291997954,12106.120678645402
0.00013749172258064192,11667.369035439833
0.00014266210152607368,11244.518687911512
0.00014802691267395087,10836.99333917784
0.0001535934676510897,10444.237578584834
0.00015936935303817744,10065.716124745652
0.00016536244070941805,9700.913096013
0.0001715808985610005,9349.331307391149
0.0001780332016430114,9010.491592929437
0.00018472814370996341,8683.932152673642
0.0001916748492056815,8369.207923285103
0.00019888278569888098,8065.889971470229
0.00020636177678638588,7773.564909393121
0.00021412201548157294,7491.8343312751085
0.00022217407810628823,7220.314270412909
0.00023052893870517061,6958.6346758758855
0.00023919798400202374,6706.438908168619
0.00024819302891862527,6463.383253171961
0.00025752633267711985,6229.136453699796
0.00026721061550794326,6003.379258033184
0.0002772590759860481,5785.803984816676
0.00028768540901905916,5576.114103723595
0.00029850382451187293,5374.023831318984
0.0003097290667331407,5179.257741569344
0.00032137643441002754,4991.550390468249
