w_Gen1,mag_Gen1,w_k2a_Gen1,mag_k2a_Gen1,w_Gen2,mag_Gen2,w_k2a_Gen2,mag_k2a_Gen2,w_Gen3,mag_Gen3,w_k2a_Gen3,mag_k2a_Gen3,w_Gen4,mag_Gen4,w_k2a_Gen4,mag_k2a_Gen4
1e-05,0.7882785588734035,1e-05,0.9025001230441225,1e-05,0.7882785588734035,1e-05,0.9025001230441225,1e-05,0.7882785588875291,1e-05,0.9025001230469559,1e-05,0.7882785588734035,1e-05,0.9025001230441225
1.0376050197669118e-05,0.7882785670420644,1.0376050197669118e-05,0.9025001324722776,1.0376050197669118e-05,0.7882785670420644,1.0376050197669118e-05,0.9025001324722776,1.0376050197669118e-05,0.7882785670572718,1.0376050197669118e-05,0.9025001324753275,1.0376050197669118e-05,0.7882785670420644,1.0376050197669118e-05,0.9025001324722776
1.0766241770454934e-05,0.7882785758366418,1.0766241770454934e-05,0.9025001426228563,1.0766241770454934e-05,0.7882785758366418,1.0766241770454934e-05,0.9025001426228563,1.0766241770454934e-05,0.7882785758530149,1.0766241770454934e-05,0.9025001426261411,1.0766241770454934e-05,0.7882785758366418,1.0766241770454934e-05,0.9025001426228563
1.1171106505048242e-05,0.7882785853050964,1.1171106505048242e-05,0.9025001535512158,1.1171106505048242e-05,0.7882785853050964,1.1171106505048242e-05,0.9025001535512158,1.1171106505048242e-05,0.7882785853227242,1.1171106505048242e-05,0.9025001535547517,1.1171106505048242e-05,0.7882785853050964,1.1171106505048242e-05,0.9025001535512158
1.1591196185988858e-05,0.788278595499064,1.1591196185988858e-05,0.902500165316951,1.1591196185988858e-05,0.788278595499064,1.1591196185988858e-05,0.902500165316951,1.1591196185988858e-05,0.7882785955180422,1.1591196185988858e-05,0.9025001653207583,1.1591196185988858e-05,0.788278595499064,1.1591196185988858e-05,0.902500165316951
1.202708334768512e-05,0.7882786064741355,1.202708334768512e-05,0.9025001779842263,1.202708334768512e-05,0.7882786064741355,1.202708334768512e-05,0.9025001779842263,1.202708334768512e-05,0.7882786064945679,1.202708334768512e-05,0.9025001779883249,1.202708334768512e-05,0.7882786064741355,1.202708334768512e-05,0.9025001779842263
1.2479362054713115e-05,0.788278618290163,1.2479362054713115e-05,0.9025001916221214,1.2479362054713115e-05,0.788278618290163,1.2479362054713115e-05,0.9025001916221214,1.2479362054713115e-05,0.7882786183121613,1.2479362054713115e-05,0.9025001916265347,1.2479362054713115e-05,0.788278618290163,1.2479362054713115e-05,0.9025001916221214
1.2948648711459049e-05,0.788278631011584,1.2948648711459049e-05,0.9025002063050094,1.2948648711459049e-05,0.788278631011584,1.2948648711459049e-05,0.9025002063050094,1.2948648711459049e-05,0.7882786310352677,1.2948648711459049e-05,0.9025002063097598,1.2948648711459049e-05,0.788278631011584,1.2948648711459049e-05,0.9025002063050094
1.3435582902208263e-05,0.788278644707774,1.3435582902208263e-05,0.9025002221129609,1.3435582902208263e-05,0.788278644707774,1.3435582902208263e-05,0.9025002221129609,1.3435582902208263e-05,0.7882786447332716,1.3435582902208263e-05,0.9025002221180756,1.3435582902208263e-05,0.788278644707774,1.3435582902208263e-05,0.9025002221129609
1.3940828262825786e-05,0.7882786594534223,1.3940828262825786e-05,0.9025002391321839,1.3940828262825786e-05,0.7882786594534223,1.3940828262825786e-05,0.9025002391321839,1.3940828262825786e-05,0.7882786594808743,1.3940828262825786e-05,0.9025002391376903,1.3940828262825786e-05,0.7882786594534223,1.3940828262825786e-05,0.9025002391321839
