time,freq,avg_freq,p_bus_7,p_bus_9
0.02,[50. 50. 50. 50.],49.99999999999961,967.0000000000001,1766.9999999999998
0.04,[49.99999899 49.9999987  49.99999955 49.99999942],49.999999166244905,967.0701945823154,1767.0000000000027
0.06,[49.99999937 49.99999924 49.99999967 49.9999996 ],49.999999470260136,966.9043703119067,1767.0000000000005
0.08,[50.00000846 50.00001085 50.0000037  50.00000482],50.000006955487414,966.4654192474036,1767.0000000000023
0.1,[50.0000298  50.00003775 50.00001345 50.00001727],50.000024569596775,966.0503036279345,1766.9999999999995
0.12000000000000001,[50.00005838 50.00007328 50.00002689 50.00003419],50.00004818331004,965.9577472355023,1766.9999999999957
0.14,[50.00009307 50.000116   50.0000435  50.00005487],50.00007685923243,965.6210080004961,1767.0000000000002
0.16,[50.00013331 50.00016489 50.00006326 50.00007915],50.00011015316284,965.5649566892475,1766.9999999999968
0.18,[50.00017277 50.00021179 50.0000834  50.00010337],50.0001428340162,965.668300617353,1767.0000000000018
0.19999999999999998,[50.00021063 50.00025567 50.00010357 50.00012704],50.000174226751106,965.6692710625086,1767.0000000000025
0.21999999999999997,[50.0002474  50.00029708 50.0001241  50.00015053],50.00020477750665,965.7351366743724,1766.9999999999984
0.23999999999999996,[50.00028125 50.00033367 50.00014424 50.00017284],50.000232999282424,965.8615067387514,1767.000000000002
0.25999999999999995,[50.00031504 50.00036914 50.00016527 50.00019562],50.00026126640251,965.7278323892491,1767.0000000000016
0.27999999999999997,[50.00035063 50.00040573 50.00018821 50.00022011],50.000291169978524,965.7200443458629,1767.0000000000005
0.3,[50.00038666 50.00044177 50.00021253 50.00024559],50.000321637565534,965.6765951912589,1766.999999999999
0.32,[50.00042145 50.0004751  50.00023755 50.00027117],50.000351317485936,965.7825067329709,1767.0000000000016
0.34,[50.00045306 50.00050342 50.0002624  50.00029577],50.00037866119795,965.8696532145135,1767.0000000000007
0.36000000000000004,[50.00048232 50.00052789 50.00028745 50.00031988],50.00040438422341,965.9155826831595,1767.0000000000011
0.38000000000000006,[50.00051317 50.00055371 50.00031445 50.00034581],50.00043178609959,965.7250929414658,1767.000000000001
0.4000000000000001,[50.00055042 50.000587   50.00034567 50.00037648],50.00046489370581,965.4315795270358,1767.0000000000011
0.4200000000000001,[50.00058938 50.00062172 50.0003792  50.00040935],50.00049991267392,965.5597972784519,1767.0000000000005
0.4400000000000001,[50.00062679 50.00065403 50.00041344 50.00044246],50.00053418197613,965.4904544327984,1767.0000000000016
0.46000000000000013,[50.00065968 50.00068016 50.00044714 50.00047419],50.0005652933982,965.8213677879709,1766.9999999999986
0.48000000000000015,[50.00068895 50.00070169 50.00048044 50.0005049 ],50.00059399545247,965.6897880303841,1767.0000000000025
0.5000000000000001,[50.000716   50.00072041 50.0005141  50.00053557],50.000621517398386,965.9171919811167,1767.0000000000025
0.5200000000000001,[50.00073306 50.00072671 50.00054449 50.00056163],50.00064147339343,966.323869487721,1766.9999999999998
0.5400000000000001,[50.00074002 50.00072088 50.00057127 50.00058287],50.00065376167115,966.5610426567865,1766.9999999999993
0.5600000000000002,[50.00074716 50.00071634 50.00059885 50.00060511],50.00066686327772,966.2546237773789,1766.9999999999982
0.5800000000000002,[50.00075541 50.00071418 50.0006278  50.0006291 ],50.000681623047804,966.4203311013184,1766.999999999998
0.6000000000000002,[50.00076204 50.00071128 50.00065661 50.00065307],50.00069574801138,966.3073691745237,1766.9999999999966
0.6200000000000002,[50.00076776 50.00070857 50.00068557 50.00067743],50.000709831605654,966.4231204074125,1767.0
0.6400000000000002,[50.00076932 50.00070216 50.000713   50.00070016],50.00072115902485,966.5391370154762,1767.0
0.6600000000000003,[50.00076699 50.00069254 50.0007388  50.00072127],50.000729900565915,966.6411019530622,1767.0000000000025
0.6800000000000003,[50.0007613  50.00068052 50.00076302 50.00074092],50.00073643821338,966.7255191206245,1766.9999999999977
0.7000000000000003,[50.00075683 50.00067208 50.00078747 50.00076158],50.00074449003605,966.5149821401587,1767.0000000000002
0.7200000000000003,[50.00075676 50.00067113 50.00081355 50.00078506],50.00075662645594,966.3828502910299,1767.0000000000011
0.7400000000000003,[50.00075646 50.00067165 50.00083909 50.00080859],50.00076894524831,966.5007275839039,1767.0000000000014
0.7600000000000003,[50.00075139 50.00066791 50.00086181 50.0008293 ],50.00077760191128,966.6927482304617,1767.0000000000005
0.7800000000000004,[50.00074431 50.00066346 50.00088267 50.00084853],50.000784742679414,966.6307228990271,1767.0
0.8000000000000004,[50.00073924 50.00066322 50.00090337 50.00086848],50.000793579477445,966.5526154259692,1767.0000000000025
0.8200000000000004,[50.00073389 50.0006641  50.00092283 50.00088774],50.000802135897985,966.6571090278547,1766.9999999999995
0.8400000000000004,[50.00072962 50.00066773 50.0009414  50.00090681],50.000811389072766,966.4972245214373,1767.0000000000023
0.8600000000000004,[50.00072752 50.00067516 50.00095958 50.00092626],50.00082212915957,966.535170078415,1767.0
0.8800000000000004,[50.00072464 50.00068247 50.00097591 50.0009442 ],50.000831804678334,966.5903686634641,1766.999999999999
0.9000000000000005,[50.00071576 50.00068275 50.00098797 50.00095746],50.00083598430246,967.0017863729005,1767.0000000000018
0.9200000000000005,[50.0007002  50.00067518 50.00099511 50.00096531],50.00083394829222,967.1187805949032,1766.999999999997
0.9400000000000005,[50.00068134 50.00066384 50.00099878 50.00096959],50.00082838835758,967.3043037331787,1767.0000000000016
0.9600000000000005,[50.0006627  50.00065313 50.00100038 50.00097215],50.00082209084603,967.1874194804496,1766.999999999999
0.9800000000000005,[50.00064498 50.00064358 50.0010003  50.00097336],50.000815554325726,967.330965095768,1767.0000000000032
1.0000000000000004,[50.00062589 50.00063218 50.00099733 50.00097172],50.00080678111562,967.3826173720281,1766.999999999998
1.0200000000000005,[50.00061038 50.0006251  50.00099363 50.00096997],50.000799769125464,967.1897996029534,1767.0000000000002
1.0400000000000005,[50.0005989  50.00062257 50.00098949 50.00096837],50.00079482980255,967.2148071207849,1767.0
1.0600000000000005,[50.00058913 50.0006215  50.00098381 50.00096547],50.00078997680748,967.1890869266292,1767.0000000000011
1.0800000000000005,[50.00057921 50.00061934 50.00097581 50.00096018],50.000783636229876,967.3464198620588,1767.0
