w_Gen1,mag_Gen1,w_k2a_Gen1,mag_k2a_Gen1,w_Gen2,mag_Gen2,w_k2a_Gen2,mag_k2a_Gen2,w_Gen3,mag_Gen3,w_k2a_Gen3,mag_k2a_Gen3,w_Gen4,mag_Gen4,w_k2a_Gen4,mag_k2a_Gen4
1e-05,0.8878505273261955,1e-05,0.9500000661934067,1e-05,0.8878505273261955,1e-05,0.9500000661934067,1e-05,0.8878505273341505,1e-05,0.9500000661964472,1e-05,0.8878505273261955,1e-05,0.9500000661934067
1.0376050197669118e-05,0.8878505319264411,1.0376050197669118e-05,0.9500000712654216,1.0376050197669118e-05,0.8878505319264411,1.0376050197669118e-05,0.9500000712654216,1.0376050197669118e-05,0.8878505319350053,1.0376050197669118e-05,0.9500000712686953,1.0376050197669118e-05,0.8878505319264411,1.0376050197669118e-05,0.9500000712654216
1.0766241770454934e-05,0.8878505368791765,1.0766241770454934e-05,0.9500000767260759,1.0766241770454934e-05,0.8878505368791765,1.0766241770454934e-05,0.9500000767260759,1.0766241770454934e-05,0.887850536888397,1.0766241770454934e-05,0.9500000767295999,1.0766241770454934e-05,0.8878505368791765,1.0766241770454934e-05,0.9500000767260759
1.1171106505048242e-05,0.8878505422114109,1.1171106505048242e-05,0.9500000826051482,1.1171106505048242e-05,0.8878505422114109,1.1171106505048242e-05,0.9500000826051482,1.1171106505048242e-05,0.8878505422213382,1.1171106505048242e-05,0.9500000826089424,1.1171106505048242e-05,0.8878505422114109,1.1171106505048242e-05,0.9500000826051482
1.1591196185988858e-05,0.8878505479522237,1.1591196185988858e-05,0.9500000889346992,1.1591196185988858e-05,0.8878505479522237,1.1591196185988858e-05,0.9500000889346992,1.1591196185988858e-05,0.8878505479629115,1.1591196185988858e-05,0.9500000889387842,1.1591196185988858e-05,0.8878505479522237,1.1591196185988858e-05,0.9500000889346992
1.202708334768512e-05,0.8878505541329214,1.202708334768512e-05,0.950000095749247,1.202708334768512e-05,0.8878505541329214,1.202708334768512e-05,0.950000095749247,1.202708334768512e-05,0.887850554144428,1.202708334768512e-05,0.9500000957536452,1.202708334768512e-05,0.8878505541329214,1.202708334768512e-05,0.950000095749247
1.2479362054713115e-05,0.8878505607872098,1.2479362054713115e-05,0.9500001030859542,1.2479362054713115e-05,0.8878505607872098,1.2479362054713115e-05,0.9500001030859542,1.2479362054713115e-05,0.8878505607995983,1.2479362054713115e-05,0.9500001030906893,1.2479362054713115e-05,0.8878505607872098,1.2479362054713115e-05,0.9500001030859542
1.2948648711459049e-05,0.8878505679513777,1.2948648711459049e-05,0.9500001109848301,1.2948648711459049e-05,0.8878505679513777,1.2948648711459049e-05,0.9500001109848301,1.2948648711459049e-05,0.8878505679647154,1.2948648711459049e-05,0.9500001109899279,1.2948648711459049e-05,0.8878505679513777,1.2948648711459049e-05,0.9500001109848301
1.3435582902208263e-05,0.8878505756644943,1.3435582902208263e-05,0.9500001194889508,1.3435582902208263e-05,0.8878505756644943,1.3435582902208263e-05,0.9500001194889508,1.3435582902208263e-05,0.8878505756788535,1.3435582902208263e-05,0.9500001194944395,1.3435582902208263e-05,0.8878505756644943,1.3435582902208263e-05,0.9500001194889508
1.3940828262825786e-05,0.8878505839686216,1.3940828262825786e-05,0.950000128644693,1.3940828262825786e-05,0.8878505839686216,1.3940828262825786e-05,0.950000128644693,1.3940828262825786e-05,0.8878505839840813,1.3940828262825786e-05,0.9500001286506019,1.3940828262825786e-05,0.8878505839686216,1.3940828262825786e-05,0.950000128644693
1.4465073385216472e-05,0.8878505929090457,1.4465073385216472e-05,0.9500001385019862,1.4465073385216472e-05,0.8878505929090457,1.4465073385216472e-05,0.9500001385019862,1.4465073385216472e-05,0.8878505929256904,1.4465073385216472e-05,0.9500001385083477,1.4465073385216472e-05,0.8878505929090457,1.4465073385216472e-05,0.9500001385019862
1.5009032755797366e-05,0.8878506025345224,1.5009032755797366e-05,0.9500001491145862,1.5009032755797366e-05,0.8878506025345224,1.5009032755797366e-05,0.9500001491145862,1.5009032755797366e-05,0.8878506025524425,1.5009032755797366e-05,0.9500001491214354,1.5009032755797366e-05,0.8878506025345224,1.5009032755797366e-05,0.9500001491145862
1.557344772926135e-05,0.8878506128975434,1.557344772926135e-05,0.9500001605403678,1.557344772926135e-05,0.8878506128975434,1.557344772926135e-05,0.9500001605403678,1.557344772926135e-05,0.8878506129168364,1.557344772926135e-05,0.9500001605477417,1.557344772926135e-05,0.8878506128975434,1.557344772926135e-05,0.9500001605403678
1.615908753895919e-05,0.8878506240546222,1.615908753895919e-05,0.9500001728416404,1.615908753895919e-05,0.8878506240546222,1.615908753895919e-05,0.9500001728416404,1.615908753895919e-05,0.8878506240753934,1.615908753895919e-05,0.9500001728495794,1.615908753895919e-05,0.8878506240546222,1.615908753895919e-05,0.9500001728416404
1.676675034527701e-05,0.8878506360666027,1.676675034527701e-05,0.9500001860854879,1.676675034527701e-05,0.8878506360666027,1.676675034527701e-05,0.9500001860854879,1.676675034527701e-05,0.8878506360889658,1.676675034527701e-05,0.950000186094035,1.676675034527701e-05,0.8878506360666027,1.676675034527701e-05,0.9500001860854879
