1.073559595943964773e+00 1.961570132087076868e+00
1.061435884656675599e+00 1.970749815260472770e+00
1.063442262407928940e+00 1.959657658969781613e+00
1.057919600542626126e+00 1.961173056614072374e+00
1.051912191557298648e+00 1.960966625888965531e+00
1.054963277015208867e+00 1.939158029680973616e+00
1.060522156375519609e+00 1.924370258236251852e+00
1.064215531658878611e+00 1.938059256439398137e+00
1.078773178229679885e+00 1.957354346267086598e+00
1.089255682050422003e+00 1.954542613891687930e+00
1.086439096676242277e+00 1.953043438319530756e+00
1.082213044246596700e+00 1.964950919558895448e+00
1.087857287332127054e+00 1.970602678727956025e+00
1.079698421478349157e+00 1.982158656554827481e+00
1.085427061327078224e+00 1.984654441790409951e+00
1.098739773048494905e+00 1.996954191055168915e+00
1.072110422458961043e+00 1.985786788241443279e+00
1.077914913846572009e+00 1.985934986402333013e+00
1.080150833235194341e+00 1.973408859443441132e+00
1.085832574008313234e+00 1.967362775646751993e+00
1.094541654471284264e+00 1.961716413481733312e+00
1.094712941797205241e+00 1.955593739068715253e+00
1.100741514139738975e+00 1.967138396588168803e+00
1.097543418616776290e+00 1.964060273791656819e+00
1.098294753495905329e+00 1.972959053993360357e+00
1.090259020527192924e+00 1.969479750689609787e+00
1.094113018407820714e+00 1.962489939291206298e+00
1.093499604977325790e+00 1.969532409569495046e+00
1.079749406506195886e+00 1.965591925694393449e+00
1.069155260628706916e+00 1.967626268074850193e+00
1.077224448349369812e+00 1.968482011012236743e+00
1.076085092520587372e+00 1.968382039215197388e+00
1.064504212370092073e+00 1.961929820103027744e+00
1.065539217031788111e+00 1.967568944607059223e+00
1.082681780642477332e+00 1.970047920550788589e+00
1.090206684586361829e+00 1.955126451902825080e+00
1.082317513812433685e+00 1.938426244364503281e+00
1.077451059423568225e+00 1.933590383896269804e+00
1.068489741614569999e+00 1.931262237375906521e+00
1.065736228248645334e+00 1.932476155955405339e+00
1.069517933373187901e+00 1.937026904310008790e+00
1.083477124551734949e+00 1.922807225662926722e+00
1.090699654603588531e+00 1.929043784483681412e+00
1.111060449133189021e+00 1.940131006626408583e+00
1.106108752415868812e+00 1.945239925403500214e+00
1.111813742951791140e+00 1.944335818461120358e+00
1.103703058756524635e+00 1.952895569964598455e+00
1.095956381507620314e+00 1.928052182720779717e+00
1.110593261244021912e+00 1.944225804778782596e+00
1.097545922870035495e+00 1.944920884858531540e+00
1.095507913015915546e+00 1.938094151303184187e+00
1.085316789478572463e+00 1.935272261732228882e+00
1.082399863241022109e+00 1.938547676598677327e+00
1.072261905786384695e+00 1.960016269156059421e+00
1.071631690100494305e+00 1.971719379040151265e+00
1.080788767328480837e+00 1.959294432575032108e+00
1.083054159339021938e+00 1.955358022571213494e+00
1.095885795540813890e+00 1.952426331646073931e+00
1.100660724476330898e+00 1.952237721956248562e+00
1.103371544122576209e+00 1.971118146831047246e+00
1.106518271384126617e+00 1.978555602114026701e+00
1.101438936996388840e+00 1.981432505574398428e+00
1.112811715771358179e+00 1.981915024524509628e+00
1.125642711195376178e+00 1.990690027585394040e+00
1.130080991167836002e+00 1.998711549764059292e+00
1.138406055860174293e+00 1.993290089385730157e+00
1.133619549628628764e+00 1.984115622934620848e+00
1.124451714988438100e+00 2.000947304811863781e+00
1.120919537587579340e+00 2.000669942187846662e+00
1.116496768656587646e+00 1.992437273724139590e+00
1.100029896090074510e+00 1.986439446111833096e+00
1.095966734525173347e+00 1.987040978981029715e+00
1.085999027340476042e+00 1.992157855219393481e+00
1.087848761844167678e+00 1.997065120410086658e+00
1.090090115392345682e+00 1.998201971961836243e+00
1.084934293582222598e+00 1.984812842024541446e+00
1.093700095054253252e+00 1.979541568602958712e+00
1.088574858715529725e+00 1.983279152716765470e+00
1.090597763623982974e+00 1.970831502893201304e+00
1.070964720581914831e+00 1.970178128513482507e+00
1.083472853273816483e+00 1.959619053194602278e+00
1.087290673856641909e+00 1.958120808031342808e+00
1.088764229232430436e+00 1.946173736470655946e+00
1.078275010514228915e+00 1.954491542517353464e+00
1.079286460391816416e+00 1.973353781476314905e+00
1.062222911600115172e+00 1.963161368757084357e+00
1.065858161351967759e+00 1.959053695238404114e+00
1.080341813990486566e+00 1.950076266902095012e+00
1.083717731574705079e+00 1.956657138375948790e+00
1.078840727072128303e+00 1.971629446988812706e+00
1.075720189132769011e+00 1.970693661162999044e+00
1.067608218530365916e+00 1.972866363563906988e+00
1.081846372794682098e+00 1.960251097752118588e+00
1.087912596802134368e+00 1.963768364625840812e+00
1.075962048376120084e+00 1.956081654042520768e+00
1.071555432274075903e+00 1.955449964738843693e+00
1.071701888445922402e+00 1.947092744110185736e+00
1.079323471909932275e+00 1.950344541778171514e+00
1.065591279878282061e+00 1.949146700371781726e+00
1.069983739755271612e+00 1.942683905102443598e+00
1.056329054663649014e+00 1.940943042268450824e+00
1.066333285495961958e+00 1.954814475067735868e+00
1.076692115111906656e+00 1.957191940134433983e+00
1.072609333297532164e+00 1.957303346414124734e+00
1.069262848922627018e+00 1.947437791495009396e+00
1.066317650922035565e+00 1.956414005123024991e+00
1.069184708188317900e+00 1.956139599055510381e+00
1.068013071191558305e+00 1.975099620332577688e+00
1.068800267863118769e+00 1.973306145814058610e+00
1.062478291172346934e+00 1.980980306351989739e+00
1.054623518020147088e+00 1.992059019592914648e+00
1.043407756613353721e+00 1.998565908809052605e+00
1.043197831271321929e+00 1.989884809005760369e+00
1.037960409794679295e+00 1.984652138962333057e+00
1.011841788516977259e+00 1.980236534955487793e+00
1.027149874706417609e+00 1.965756542974110177e+00
1.044841088987130018e+00 1.966485098291801847e+00
1.043170083187691111e+00 1.971846559015623335e+00
1.058644575579666069e+00 1.988116450610774244e+00
1.053608993711458552e+00 1.982297942542566860e+00
1.041947281103003942e+00 1.989506904052326552e+00
1.052375853997850941e+00 1.995535835283908099e+00
1.063352741701753645e+00 1.987136389785556956e+00
1.054833909334584208e+00 1.981423898222818503e+00
1.062145321948427146e+00 1.977050009792636009e+00
1.060064438414772381e+00 1.986810458844925131e+00
