1.030023888380038111e+00 1.010015204113444032e+00 1.030024840532235197e+00 1.010005149561098436e+00 1.006477263578227310e+00 9.781268111603990123e-01 9.609660092452350089e-01 9.485519751856447135e-01 9.712588294808173206e-01 9.834284016208708623e-01 1.008269294568574503e+00
1.029829051895936098e+00 1.009544317179260187e+00 1.029848553554545632e+00 1.009866658527488026e+00 1.006023486859562555e+00 9.771538906261963975e-01 9.593368463756015707e-01 9.473249216445076559e-01 9.714877631461620311e-01 9.833977651748465609e-01 1.008103308572341872e+00
1.029965615662721046e+00 1.009752549098737351e+00 1.030026751529813822e+00 1.009954310713395476e+00 1.006254926808852312e+00 9.775112669177831171e-01 9.598113773850157626e-01 9.475894124858104117e-01 9.709311163378966381e-01 9.832668747673821708e-01 1.008224440727000015e+00
1.029889053789111886e+00 1.009548737700811660e+00 1.029978014097535199e+00 1.009891346616284880e+00 1.006073147796983536e+00 9.771014388639455150e-01 9.591073576696299563e-01 9.470311696831159587e-01 9.708797677311529206e-01 9.832016844535689248e-01 1.008163810604025601e+00
1.029818541678541033e+00 1.009342695084297858e+00 1.029952379276968921e+00 1.009834399541618355e+00 1.005897318734765955e+00 9.766843850342699085e-01 9.583724572502922978e-01 9.464285602229317584e-01 9.707209742742600733e-01 9.831024360944136120e-01 1.008114194273984410e+00
1.030104604561751680e+00 1.009760232994447282e+00 1.030268014183939984e+00 1.009946507114571013e+00 1.006355960194771582e+00 9.773564984338909412e-01 9.592222566198088662e-01 9.468637326181181813e-01 9.695744853356923487e-01 9.827899308839428416e-01 1.008308700748579145e+00
1.030318936938349861e+00 1.010126814696816089e+00 1.030448653026901251e+00 1.009972962004654251e+00 1.006746457367247327e+00 9.780260308280516179e-01 9.601982003991026415e-01 9.474644271300165510e-01 9.688294308843883318e-01 9.825677514627441100e-01 1.008413225325685225e+00
1.030118961479666639e+00 1.009924573236814727e+00 1.030205681063944168e+00 1.009834645876814818e+00 1.006532435454060792e+00 9.778928018606194428e-01 9.602661817596527261e-01 9.476781267062476255e-01 9.696222203016656715e-01 9.827699506526229589e-01 1.008265113658861845e+00
1.029872939973608625e+00 1.009863496783929948e+00 1.029918352454497033e+00 1.009763300374080019e+00 1.006422078114447283e+00 9.782639080882482574e-01 9.614235503964057017e-01 9.488487744796015866e-01 9.709594243799685165e-01 9.832087289845710121e-01 1.008141745590592997e+00
1.029974826871188354e+00 1.010194734028132313e+00 1.029981753096581132e+00 1.009845879635062893e+00 1.006718661000118198e+00 9.789878914362005746e-01 9.627083242026104326e-01 9.498616295440630575e-01 9.710323630709226661e-01 9.833014879828646526e-01 1.008226327093480368e+00
