-2.076528249761866778e-17 -3.094232689001593997e-17 -1.490577208987478837e-17 6.887494689804211797e-18
-6.602473521918619382e-07 -1.016373574455069281e-06 1.744933084491191824e-06 2.970006460935771587e-06
-1.591926653214502382e-07 -1.183195210665419285e-07 2.818016606759775267e-06 4.719923469628134877e-06
1.357590481375472361e-06 2.421369319629608908e-06 3.624935385763973049e-06 5.967643374356532523e-06
-7.058144196998253784e-07 -1.090861878011124929e-06 2.071036654910773798e-06 3.229361766527670564e-06
-1.586184911773734905e-06 -2.608578792208717006e-06 -3.493137222744266025e-07 -9.310389191779060362e-07
-4.301901668234479859e-06 -7.205126534482212216e-06 -4.786551467653808921e-06 -8.401745954858372181e-06
-4.068990091327190273e-06 -6.687041516852010037e-06 -5.274142319296567330e-06 -9.038805734328077474e-06
-4.131021103839523074e-06 -6.727876152282108017e-06 -7.105360899218301055e-06 -1.194822542637149502e-05
-4.833832938542435708e-06 -7.891007846040350325e-06 -1.039767980962097205e-05 -1.727458244396827016e-05
-7.117184799903573071e-06 -1.159362508046572643e-05 -1.253548339305944127e-05 -2.050827867435091659e-05
-6.453819402088661286e-06 -1.030236648297859833e-05 -1.323827702799430714e-05 -2.128097804819151418e-05
-6.186996010767500728e-06 -9.743168556810286987e-06 -1.499527464139208821e-05 -2.383233767814859770e-05
-3.754364395944706981e-06 -5.614571576482680681e-06 -1.619288776173351060e-05 -2.541521879673396526e-05
-2.068967638522666483e-06 -2.841212337193343075e-06 -1.798248475454088195e-05 -2.796828375389156252e-05
1.736323950076173734e-06 3.398415810184919053e-06 -1.870758926321474313e-05 -2.869384996363092574e-05
5.093122846683700923e-06 8.611784005420383055e-06 -2.296420886281398896e-05 -3.540719414271794230e-05
9.040541861299219691e-06 1.470754896989690823e-05 -2.638041903636948159e-05 -4.055924248075697250e-05
1.037306443858486165e-05 1.624838552610281323e-05 -3.254197757957553642e-05 -5.023957221981996028e-05
8.786300065286996547e-06 1.299527057559320131e-05 -3.755805318256971205e-05 -5.772649426645873745e-05
5.762807594859349156e-06 7.425575209425316275e-06 -4.336590100970245107e-05 -6.638435301193436116e-05
1.860702492904846300e-06 6.178852377896839097e-07 -4.725295497540589013e-05 -7.158281112606030032e-05
-4.620168670214707074e-06 -1.028848571169865500e-05 -5.129213351119485300e-05 -7.690060334096028051e-05
-1.083909840232692342e-05 -2.052769017280978077e-05 -5.570519560238360409e-05 -8.274593605797793665e-05
-1.387483207337713496e-05 -2.538764942122495951e-05 -6.238898223588481759e-05 -9.237216294314316595e-05
-1.266877056474480888e-05 -2.304109386383878518e-05 -6.578371343450577127e-05 -9.625996218246266653e-05
-8.380923740425322158e-06 -1.569014677131083088e-05 -6.889731119787824529e-05 -9.964124117903461935e-05
-4.431597992540075380e-06 -8.891241951739691768e-06 -6.722196674152846284e-05 -9.482247044919614107e-05
6.482663022877389449e-07 -3.895681194547776204e-07 -6.559299515149195100e-05 -9.021334278335393247e-05
6.825965101816548960e-06 9.787997773405025321e-06 -6.248155048993437157e-05 -8.320690711981096419e-05
1.339093271939482978e-05 2.042492690208054041e-05 -5.833451263218066994e-05 -7.459916901914520528e-05
1.976759244349772510e-05 3.057594185911970618e-05 -5.307471447426528058e-05 -6.428036590725234769e-05
2.656899356007918106e-05 4.116796774462725951e-05 -4.918708643023924921e-05 -5.650305384051831784e-05
3.569032518067907452e-05 5.534861372900731828e-05 -4.555985730604160936e-05 -4.934715446217675982e-05
4.789001959487588318e-05 7.433191288818037645e-05 -4.081742053608781767e-05 -4.047721795065039875e-05
5.737933431650228466e-05 8.853841522942033091e-05 -3.409075226538928422e-05 -2.837833526305145001e-05
6.897647598318586105e-05 1.060062703974565967e-04 -2.544053791349336067e-05 -1.329067431268834690e-05
7.991078606733223704e-05 1.220156705947409543e-04 -1.727689519915899462e-05 6.768037404866818777e-07
9.068609205988820122e-05 1.375321006763001929e-04 -7.042457399797824634e-06 1.787622478682298141e-05
1.028980230698853742e-04 1.551980244478409689e-04 5.398519878636640515e-06 3.844224146852260178e-05
1.136733005039344200e-04 1.700411625116333893e-04 1.485992002609278847e-05 5.356628463281097482e-05
1.238949523508592148e-04 1.837290837402380940e-04 2.533706091140513949e-05 7.012246794697670382e-05
1.311223407713713355e-04 1.922129829424603720e-04 3.520308314494337190e-05 8.535688210512927066e-05
1.405962685393241803e-04 2.042116810665837046e-04 4.413668203869706394e-05 9.868424221158372204e-05
1.491722427340808966e-04 2.146634400795345283e-04 5.723539022893135231e-05 1.188076971336498146e-04
1.572825663779836732e-04 2.241848660488356126e-04 7.102499966653997969e-05 1.396872403170765610e-04
1.670683492895811524e-04 2.363526956284980039e-04 8.652155779566143325e-05 1.629940384916013095e-04
1.751778011040227656e-04 2.456185881569496491e-04 1.044051788638049121e-04 1.898623490205035580e-04
1.847890673259643655e-04 2.572049853280369619e-04 1.227899739220297403e-04 2.169884015126938509e-04
1.938408600428783866e-04 2.676356946971136450e-04 1.409828006563524966e-04 2.432243445708827325e-04
2.048948614631101908e-04 2.810728170807197564e-04 1.571548225660116763e-04 2.654709637621161921e-04
2.147946641633996284e-04 2.922682277229636289e-04 1.718344399635184116e-04 2.847474416348973972e-04
2.259942701933635647e-04 3.053504712893436736e-04 1.862035767237073302e-04 3.030807627934708082e-04
2.364766160582830858e-04 3.169691734651025323e-04 2.005579703912948773e-04 3.210110466100244949e-04
2.443017523294096984e-04 3.239802903856227995e-04 2.151409549690312380e-04 3.389783281605437482e-04
2.509241962260813077e-04 3.288640890457974835e-04 2.294268246909033986e-04 3.560709830732694883e-04
2.576402768266579033e-04 3.337825397708115132e-04 2.430008511022457797e-04 3.715868707885718676e-04
2.618530095679473882e-04 3.344836542712988168e-04 2.566021249989001540e-04 3.868380732002807691e-04
2.701423810986366600e-04 3.419001740535930066e-04 2.704312723763187785e-04 4.020820190966532446e-04
2.797503898085035605e-04 3.512805060187574788e-04 2.832860709384506410e-04 4.153136717106247302e-04
2.901365971720928916e-04 3.616741794905412250e-04 2.947973218461483278e-04 4.259553775141010855e-04
2.992995356791611260e-04 3.698340800708774831e-04 3.066356191165166604e-04 4.369119835549341714e-04
3.088007022982157011e-04 3.783627001464735470e-04 3.181429293655419800e-04 4.470398638228870137e-04
